iter	RMSE
2433	0.1665328422
2434	0.1664338585
2435	0.1663461678
2436	0.1663301289
2437	0.1662289536
2438	0.1661389111
2439	0.1660331546
2440	0.1660071744
2441	0.1659565056
2442	0.1659104867
2443	0.1658272246
2444	0.1657569577
2445	0.1656537621
2446	0.165539046
2447	0.1654758249
2448	0.165397523
2449	0.1653934713
2450	0.1653311033
2451	0.1652767478
2452	0.1652219777
2453	0.1651176105
2454	0.1650493322
2455	0.1649667514
2456	0.1649521745
2457	0.1648249905
2458	0.1647590861
2459	0.1647151132
2460	0.1646011669
2461	0.1645007985
2462	0.1644116745
2463	0.1643831178
2464	0.1642932296
2465	0.1642056658
2466	0.1640879536
2467	0.1640749401
2468	0.1640104302
2469	0.1639481138
2470	0.1638895418
2471	0.1637516495
2472	0.1636363828
2473	0.1635538739
2474	0.1634590673
2475	0.1634259199
2476	0.1634036522
2477	0.1633914647
2478	0.1632959844
2479	0.16329434
2480	0.1631941842
2481	0.1630747036
2482	0.1630415572
2483	0.1629019184
2484	0.1628646854
2485	0.1628114921
2486	0.162705238
2487	0.1625951263
2488	0.1625011039
2489	0.1624902321
2490	0.1623879068
2491	0.162384793
2492	0.1623744061
2493	0.1623097328
2494	0.1622827887
2495	0.1621831091
2496	0.1620693588
2497	0.16206545
2498	0.1620604808
2499	0.1619864297
2500	0.1619189226
2501	0.1618113721
2502	0.1617362189
2503	0.1617317399
2504	0.1616411905
2505	0.1615428773
2506	0.1614679398
2507	0.1613929444
2508	0.161348346
2509	0.1612780856
2510	0.1612617734
2511	0.1611994452
2512	0.1610788781
2513	0.1609685202
2514	0.160850129
2515	0.1608484285
2516	0.1607924332
2517	0.1607096065
2518	0.1607089167
2519	0.1606999129
2520	0.1606094803
2521	0.1605151819
2522	0.16051479
2523	0.1604551388
2524	0.1603489813
2525	0.1602875355
2526	0.1602170561
2527	0.1601732443
2528	0.1601728316
2529	0.1600967349
2530	0.1599929321
2531	0.1598967601
2532	0.1598528542
2533	0.1597989338
2534	0.1597310698
2535	0.1596531882
2536	0.1595800722
2537	0.1594778666
2538	0.159472661
2539	0.1594354327
2540	0.1593407331
2541	0.159291233
2542	0.1592205571
2543	0.1592189187
2544	0.1591085386
2545	0.1590969022
2546	0.1590222663
2547	0.1589704026
2548	0.1589319731
2549	0.1587988494
2550	0.1587812285
2551	0.1587287567
2552	0.1586389125
2553	0.1585579475
2554	0.1584365413
2555	0.1584296636
2556	0.1584005081
2557	0.1583214704
2558	0.1582962896
2559	0.1581872816
2560	0.1581758909
2561	0.1581032723
2562	0.1580227063
2563	0.1579771916
2564	0.1578881077
2565	0.1578128743
2566	0.1577157161
2567	0.1576005404
2568	0.1575025707
2569	0.1574198109
2570	0.1573696662
2571	0.1572770461
2572	0.1571787932
2573	0.1570990461
2574	0.1570927318
2575	0.1570617403
2576	0.1569756576
2577	0.1568915951
2578	0.1567732646
2579	0.1567209623
2580	0.1566482991
2581	0.1565910965
2582	0.1565391323
2583	0.1564502615
2584	0.1564436958
2585	0.1563465603
2586	0.1562410476
2587	0.1562140185
2588	0.1561612477
2589	0.1560979927
2590	0.1560467442
2591	0.1559995991
2592	0.1559897581
2593	0.155929766
2594	0.1558570727
2595	0.1557961375
2596	0.1557938665
2597	0.155774296
2598	0.1556766213
2599	0.1556654732
2600	0.155587863
2601	0.155563525
2602	0.1554568378
2603	0.1553405077
2604	0.155246902
2605	0.155167157
2606	0.1551656693
2607	0.1551294784
2608	0.1551024222
2609	0.1550502372
2610	0.1550467918
2611	0.1550060034
2612	0.1549775163
2613	0.1549001974
2614	0.1548647155
2615	0.1548039864
2616	0.1547382361
2617	0.1547042151
2618	0.1546422099
2619	0.1545727949
2620	0.1545209511
2621	0.1544464376
2622	0.1543567948
2623	0.1543421072
2624	0.154284016
2625	0.1542520553
2626	0.1542012389
2627	0.1541831885
2628	0.1541580972
2629	0.1540944865
2630	0.1540262015
2631	0.1539980341
2632	0.153907598
2633	0.1538049415
2634	0.1537765932
2635	0.1536996631
2636	0.1536219506
2637	0.1535669962
2638	0.1535134501
2639	0.1534810473
2640	0.1534757558
2641	0.1534182461
2642	0.153341672
2643	0.1532887298
2644	0.1532822823
2645	0.1532499229
2646	0.1531610516
2647	0.1531331191
2648	0.1530586612
